id_pedido,id_cliente,data_pedido,produto,categoria,quantidade,preco_unitario,metodo_pagamento,custo_envio,status_pedido,tempo_entrega_dias
1,99,2022-12-18,Relógio Inteligente,Vestuário,6,308.94,Boleto,11.88,Cancelado,9
2,90,2023-09-28,Bicicleta,Acessórios,1,553.48,Pix,12.71,Processando,7
3,95,2022-10-31,Relógio,Livros,8,775.64,Pix,10.98,Entregue,4
4,93,2022-12-09,Calça Jeans,Lazer,5,188.59,Boleto,40.33,Processando,11
5,59,2023-11-09,Óculos de Sol,Livros,4,173.24,Cartão de Crédito,11.38,Entregue,7
6,11,2022-07-03,Fones de Ouvido,Acessórios,10,949.28,Cartão de Crédito,15.32,Cancelado,9
7,55,2024-01-09,Laptop,Lazer,3,890.79,Dinheiro,28.22,Entregue,1
8,77,2023-11-26,Óculos de Sol,Acessórios,8,569.96,Cartão de Débito,47.46,Cancelado,5
9,43,2022-07-03,Laptop,Vestuário,3,232.96,Cartão de Crédito,7.68,Cancelado,8
10,54,2022-10-02,Mochila,Livros,3,861.46,Boleto,31.47,Entregue,6
11,45,2022-12-05,Guitarra,Lazer,5,411.05,Boleto,29.42,Processando,1
12,58,2023-02-08,Mochila,Vestuário,1,442.17,Pix,25.99,Processando,9
13,95,2023-09-17,Jogo de Vídeo,Vestuário,4,927.13,Boleto,5.89,Entregue,1
14,6,2022-02-27,Relógio Inteligente,Eletrônicos,3,284.84,Dinheiro,34.69,Processando,7
15,16,2022-11-26,Relógio,Eletrônicos,9,71.05,Dinheiro,31.27,Processando,5
16,60,2023-03-14,Smartphone,Livros,1,315.88,Pix,9.55,Cancelado,11
17,18,2022-01-16,Câmera,Vestuário,2,614.16,Dinheiro,9.26,Entregue,4
18,81,2022-02-09,Vestido,Vestuário,5,766.92,Dinheiro,35.29,Cancelado,5
19,22,2022-08-23,Camiseta,Acessórios,2,982.92,Cartão de Débito,19.88,Entregue,12
20,26,2023-04-22,Camiseta,Acessórios,1,90.16,Cartão de Crédito,42.79,Processando,10
21,91,2022-02-25,Camiseta,Livros,5,543.97,Boleto,47.78,Enviado,1
22,91,2023-04-07,Smartphone,Lazer,1,423.42,Pix,20.55,Processando,11
23,14,2022-05-25,Relógio Inteligente,Eletrônicos,1,142.69,Boleto,33.3,Enviado,12
24,27,2022-08-21,Relógio,Lazer,2,170.41,Dinheiro,35.18,Entregue,3
25,51,2023-09-09,Monitor de Atividade,Acessórios,7,918.31,Pix,23.31,Entregue,8
26,46,2022-05-12,Sapatos,Acessórios,6,133.84,Cartão de Débito,40.1,Processando,13
27,64,2022-08-29,Laptop,Eletrônicos,1,552.02,Cartão de Crédito,30.58,Enviado,2
28,11,2023-09-05,Livro,Acessórios,10,617.4,Cartão de Débito,34.9,Entregue,3
29,66,2022-10-13,Jogo de Tabuleiro,Acessórios,4,740.26,Pix,20.28,Processando,8
30,58,2022-12-07,Calça Jeans,Vestuário,4,456.63,Cartão de Débito,49.39,Cancelado,1
31,33,2023-02-20,Camiseta,Lazer,9,809.68,Pix,25.88,Processando,3
32,48,2023-11-02,Tablet,Eletrônicos,6,999.63,Cartão de Débito,11.06,Enviado,1
33,53,2023-08-24,Óculos de Sol,Lazer,9,721.66,Cartão de Débito,21.31,Entregue,13
34,17,2022-11-03,Relógio Inteligente,Acessórios,7,605.57,Dinheiro,36.54,Cancelado,6
35,26,2023-01-31,Câmera,Lazer,5,205.65,Dinheiro,39.55,Processando,4
36,96,2022-09-02,Fones de Ouvido,Livros,7,490.23,Pix,36.6,Cancelado,6
37,53,2022-02-20,Câmera,Vestuário,4,957.16,Cartão de Crédito,41.21,Processando,9
38,6,2023-04-14,Guitarra,Lazer,4,290.49,Cartão de Crédito,40.36,Cancelado,4
39,84,2023-12-30,Óculos de Sol,Vestuário,3,269.28,Cartão de Débito,6.52,Enviado,8
40,21,2022-11-10,Óculos de Sol,Eletrônicos,2,737.04,Pix,24.19,Entregue,8
41,18,2024-01-13,Tablet,Acessórios,5,521.68,Pix,43.11,Cancelado,5
42,10,2022-04-01,Relógio Inteligente,Livros,8,360.52,Pix,11.46,Processando,11
43,76,2022-10-25,Mochila,Vestuário,8,632.14,Cartão de Débito,45.69,Entregue,6
44,66,2023-07-08,Relógio Inteligente,Livros,3,622.64,Dinheiro,6.98,Cancelado,1
45,88,2022-06-21,Camiseta,Vestuário,3,375.97,Cartão de Débito,22.38,Cancelado,7
46,85,2022-09-12,Relógio,Vestuário,2,766.0,Dinheiro,14.16,Entregue,8
47,82,2023-08-11,Monitor de Atividade,Lazer,10,548.11,Cartão de Crédito,46.16,Cancelado,2
48,85,2023-09-03,Fones de Ouvido,Vestuário,2,392.68,Boleto,15.1,Cancelado,3
49,95,2023-03-13,Fones de Ouvido,Vestuário,8,912.34,Pix,15.35,Enviado,5
50,37,2023-10-26,Laptop,Livros,1,543.86,Dinheiro,20.29,Cancelado,13
51,60,2023-10-27,Vestido,Lazer,3,895.11,Boleto,35.63,Cancelado,14
52,100,2023-01-29,Chapéu,Vestuário,2,726.16,Dinheiro,25.26,Processando,6
53,56,2023-08-06,Vestido,Livros,10,521.61,Dinheiro,6.7,Cancelado,10
54,69,2022-02-09,Calça Jeans,Vestuário,9,542.65,Cartão de Débito,12.21,Cancelado,12
55,95,2022-02-24,Monitor de Atividade,Vestuário,2,37.02,Cartão de Crédito,17.78,Cancelado,7
56,29,2023-04-12,Mochila,Vestuário,7,56.65,Boleto,30.85,Cancelado,11
57,2,2022-10-07,Relógio Inteligente,Lazer,2,908.19,Boleto,37.38,Enviado,3
58,65,2022-02-07,Câmera,Vestuário,3,995.67,Dinheiro,34.76,Enviado,13
59,87,2023-03-17,Tablet,Livros,3,359.12,Cartão de Débito,31.22,Cancelado,4
60,65,2023-12-11,Mochila,Acessórios,6,890.37,Cartão de Débito,36.93,Processando,2
61,36,2022-08-10,Calça Jeans,Lazer,8,667.02,Pix,32.65,Processando,1
62,15,2022-03-28,Camiseta,Livros,6,878.03,Dinheiro,42.89,Cancelado,12
63,68,2023-01-01,Óculos de Sol,Eletrônicos,9,772.15,Pix,16.25,Processando,1
64,56,2022-11-21,Jogo de Tabuleiro,Lazer,9,404.69,Pix,11.28,Processando,13
65,25,2023-09-03,Mochila,Lazer,5,818.18,Cartão de Crédito,26.81,Enviado,10
66,42,2023-10-15,Tablet,Acessórios,1,714.3,Dinheiro,34.07,Processando,3
67,17,2022-08-27,Smartphone,Vestuário,10,603.33,Pix,30.1,Cancelado,14
68,15,2022-05-03,Relógio Inteligente,Livros,1,78.76,Pix,27.24,Enviado,5
69,7,2022-09-23,Bicicleta,Vestuário,2,476.18,Dinheiro,30.23,Entregue,13
70,54,2022-02-21,Camiseta,Acessórios,5,632.71,Dinheiro,30.52,Cancelado,2
71,85,2023-07-19,Relógio,Vestuário,3,184.15,Dinheiro,8.58,Cancelado,6
72,10,2023-02-01,Relógio,Acessórios,7,818.17,Pix,29.43,Processando,10
73,80,2023-09-29,Bicicleta,Acessórios,10,538.04,Cartão de Crédito,28.2,Enviado,9
74,86,2022-04-19,Jogo de Vídeo,Vestuário,2,164.49,Pix,8.25,Cancelado,3
75,12,2022-02-21,Guitarra,Acessórios,6,589.95,Cartão de Crédito,18.9,Processando,11
76,35,2022-11-06,Livro,Eletrônicos,8,615.3,Boleto,18.97,Enviado,9
77,13,2023-04-30,Chapéu,Lazer,5,30.21,Boleto,5.79,Processando,11
78,91,2023-10-08,Mochila,Acessórios,10,260.67,Cartão de Crédito,13.97,Enviado,5
79,21,2022-08-23,Mochila,Livros,10,23.12,Cartão de Crédito,16.81,Enviado,13
80,86,2022-07-10,Bicicleta,Eletrônicos,10,295.3,Pix,13.97,Entregue,7
81,21,2022-03-04,Camiseta,Lazer,6,597.96,Pix,9.59,Cancelado,11
82,21,2023-10-17,Óculos de Sol,Eletrônicos,5,419.54,Cartão de Débito,17.29,Entregue,9
83,6,2022-03-16,Chapéu,Eletrônicos,8,767.46,Pix,26.04,Enviado,9
84,81,2022-08-17,Jogo de Tabuleiro,Lazer,3,641.91,Cartão de Débito,16.84,Enviado,12
85,96,2022-02-06,Jogo de Tabuleiro,Vestuário,4,492.21,Cartão de Débito,41.21,Entregue,8
86,16,2022-10-06,Relógio Inteligente,Eletrônicos,1,922.04,Cartão de Débito,17.73,Processando,13
87,100,2022-09-09,Monitor de Atividade,Vestuário,8,463.83,Pix,15.52,Enviado,9
88,46,2023-05-03,Jogo de Vídeo,Vestuário,7,275.55,Cartão de Débito,11.45,Cancelado,3
89,33,2022-09-25,Chapéu,Lazer,5,791.44,Boleto,45.42,Enviado,1
90,17,2024-01-04,Câmera,Eletrônicos,4,270.49,Boleto,43.23,Processando,2
91,39,2022-12-13,Jogo de Tabuleiro,Livros,3,199.05,Cartão de Crédito,15.82,Processando,8
92,18,2023-01-21,Jogo de Vídeo,Acessórios,6,741.16,Cartão de Débito,29.89,Enviado,2
93,42,2023-06-16,Mochila,Eletrônicos,9,89.78,Cartão de Débito,31.68,Entregue,6
94,71,2023-11-10,Sapatos,Vestuário,4,61.33,Pix,19.13,Processando,5
95,30,2022-07-07,Relógio,Eletrônicos,2,223.61,Dinheiro,29.52,Entregue,5
96,86,2023-11-12,Monitor de Atividade,Livros,9,54.13,Cartão de Débito,23.07,Enviado,13
